CUSTOM ENDRO
ASEAN,Indonesia,Thailand,,,,,,,,,,,
ASEAN2,Malaysia,Philipines,,,,,,,,,,,
EAS,Japan,Korea,,,,,,,,,,,
CCC,China,Russia,,,,,,,,,,,
CEI,Polandia,Czech,,,,,,,,,,,
WEU,England,France,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
TEAM,ESA,South Korea,Dankook University,DKU,76,Juntendo,,,,,,,
TEAM,ESA,South Korea,Kyung Hee University,KH,37,Waseda,,,,,,,
TEAM,ESA,South Korea,Yonsei University,Yonsei,41,Meiji,,,,,,,
TEAM,ESA,South Korea,Korea University,KU,76,Keio,,,,,,,
TEAM,ESA,South Korea,Sungkyunkwan University,SKKU,37,Rikkyo,,,,,,,
# CCC,,,,,,,,,,,,,
TEAM,CCC,China,Beijing Sport University,BSU,85,GTSOLIFK,,,,,,,
TEAM,CCC,China,Shanghai University of Sport,SUS,81,Lesgaft,,,,,,,
TEAM,CCC,China,Wuhan Institute of Physical Education,WIPE,76,MSU,,,,,,,
TEAM,CCC,China,Chengdu Sport University,CDSU,74,KFU,,,,,,,
TEAM,CCC,China,Capital University of Physical Education,CUPES,79,UrFU,,,,,,,
TEAM,CCC,China,Tianjin University of Sport,TUS,72,SibFU,,,,,,,
TEAM,CCC,China,Shenyang Sport University,SSU,71,FEFU,,,,,,,
TEAM,CCC,Russia,Russian State University of Physical Education,GTSOLIFK,83,BSU,,,,,,,
TEAM,CCC,Russia,Lesgaft National State University,Lesgaft,80,SUS,,,,,,,
TEAM,CCC,Russia,Moscow State University,MSU,78,WIPE,,,,,,,
TEAM,CCC,Russia,Kazan Federal University,KFU,77,CDSU,,,,,,,
TEAM,CCC,Russia,Far Eastern Federal University,FEFU,70,SSU,,,,,,,
TEAM,CCC,Russia,Siberian Federal University,SibFU,73,TUS,,,,,,,
TEAM,CCC,Russia,Ural Federal University,UrFU,75,CUPES,,,,,,,
# CEI,,,,,,,,,,,,,
TEAM,CEI,Polandia,Józef Piłsudski University of Physical Education Warsaw,AWF W,45,CU,,,,,,,
TEAM,CEI,Polandia,University of Physical Education Krakow,AWF K,77,MU-CZ,,,,,,,
TEAM,CEI,Polandia,University of Physical Education Wroclaw,AWF Wr,74,UPOL,,,,,,,
TEAM,CEI,Polandia,Gdansk University of Physical Education,AWF G,37,UHK,,,,,,,
TEAM,CEI,Polandia,University of Warsaw,UW,47,TUL,,,,,,,
TEAM,CEI,Polandia,Jagiellonian University,UJ,74,USB,,,,,,,
TEAM,CEI,Polandia,Adam Mickiewicz University,UAM,63,OU,,,,,,,
TEAM,CEI,Czech,Charles University,CU,49,AWF W,,,,,,,
TEAM,CEI,Czech,Masaryk University,MU-CZ,40,AWF K,,,,,,,
TEAM,CEI,Czech,Palacky University Olomouc,UPOL,45,AWF Wr,,,,,,,
TEAM,CEI,Czech,University of Hradec Kralove,UHK,77,AWF G,,,,,,,
TEAM,CEI,Czech,Technical University of Liberec,TUL,64,UW,,,,,,,
TEAM,CEI,Czech,University of South Bohemia,USB,35,UJ,,,,,,,
TEAM,CEI,Czech,University of Ostrava,OU,83,UAM,,,,,,,
# WEU,,,,,,,,,,,,,
TEAM,WEU,England,Loughborough University,Lboro,53,Saclay,,,,,,,
TEAM,WEU,England,University of Birmingham,UoB,62,UM-FR,,,,,,,
TEAM,WEU,England,University of Bath,Bath,49,UGA,,,,,,,
TEAM,WEU,England,Leeds Beckett University,LBU,62,ULille,,,,,,,
TEAM,WEU,England,University of Nottingham,UoN,70,UBx,,,,,,,
TEAM,WEU,England,Durham University,Durham,64,Unistra,,,,,,,
TEAM,WEU,England,University of Exeter,Exeter,49,UR1,,,,,,,
TEAM,WEU,France,Université Paris-Saclay,Saclay,46,Lboro,,,,,,,
TEAM,WEU,France,Université de Montpellier,UM-FR,54,UoB,,,,,,,
TEAM,WEU,France,Université Grenoble Alpes,UGA,42,Bath,,,,,,,
TEAM,WEU,France,Université de Lille,ULille,64,LBU,,,,,,,
TEAM,WEU,France,Université de Bordeaux,UBx,36,UoN,,,,,,,
TEAM,WEU,France,Université de Strasbourg,Unistra,35,Durham,,,,,,,
TEAM,WEU,France,Université de Rennes,UR1,77,Exeter,,,,,,,
# Coach format:,Team,Name,Age,Offense,Defense,Recruiting,Training,Off Scheme,Def Scheme,,,,
# COACH,ALA,Nick Saban,65,90,90,90,90,Pro Style,Conservative,,,,
# Coordinator,Team,Name,Age,Playcalling,Position Bonus,Play Bonus,,,,,,,
# OC,ALA,Mike Locksley,55,90,QB,Deep Pass,,,,,,,
# Coordinator,Team,Name,Age,Playcalling,Position Bonus,Play Bonus,,,,,,,
# DC,ALA,Kirby Smart,55,95,LB,Inside Run,,,,,,,
# Player format:,Team,Position,Name,Year (String),Height,Weight,Stars,,,,,,
# PLAYER,ALA,QB,Tua Tagovailoa,So,72,200,5,,,,,,
# OR:,Team,Position,Name,Year (String),Height,Weight,Potential,Football IQ,Durability,Attribute1,Attribute2,Attribute3,Attribute4
PLAYER,ALA,QB,Jalen Hurts,Jr,72,200,75,90,100,75,85,95,95
END_FILE,,,,,,,,,,,,,
